Chapter,Number,Source,Value,Media,A,B,C,D,CorrectAnswer,Explanation
Objective-4,60,CH4_SEIDL,What role do digital forensics most often play in counterintelligence efforts? ,,A. They are used to determine what information was stolen by spies. , B. They are used to analyze tools and techniques used by intelligence agencies. , C. They are required for training purposes for intelligence agents. , D. They do not play a role in counterintelligence.    ,B,"Digital forensics techniques are commonly used to analyze attack patterns, tools, and techniques used by advanced persistent threat (APT) actors for counterintelligence purposes.  They may sometimes be used to determine what information was stolen, but this is not the most common use for digital forensic techniques, nor is their use as a training mechanism."
Objective-4,61,CH4_SEIDL,Which of the following groups is not typically part of an incident response team? ,,A. Law enforcement , B. Security analysts , C. Management , D. Communications staff    ,A,"Law enforcement is not typically part of organizational incident response teams, but incident response teams often maintain a relationship with local law enforcement officers.  Security analysts, management, and communication staff as well as technical experts are all commonly part of a core incident response team."
Objective-4,62,CH4_SEIDL,Bob needs to block Secure Shell (SSH) traffic between two security zones. Which of the following Linux iptables firewall rules will block that traffic from the 10.0.10.0/24 network to the system the rule is running on?  ,,A. iptables -A INPUT -p tcp --dport 22 -i eth0 -s 10.0.10.0/24 -j DROP , B. iptables -D OUTPUT -p udp -dport 21 -i eth0 -s 10.0.10.255 -j DROP , C. iptables -A OUTPUT -p udp --dport 22 -i eth0 -s 10.0.10.255 -j BLOCK , D. iptables -D INPUT -p udp --dport 21 -I eth0 -s 10.0.10.0/24 -j DROP    ,A,"Even if you’re not familiar with iptables, you can read through these rules and guess which rule includes the right details. DROP makes sense for a block, and you should know that SSH will be a TCP service on port 22."
Objective-4,63,CH4_SEIDL,Maria wants to add entries into the Linux system log so that they will be sent to her security information and event management (SIEM) device when specific scripted events occur. What Linux tool can she use to do this? ,,A. cat , B. slogd , C. logger , D. tail    ,C,"logger is a Linux utility that will add information to the Linux syslog. It can accept file input, write to the system journal entry, send to remote syslog servers, and perform a variety of other functions. The other commands do not directly interface with the system log."
Objective-4,64,CH4_SEIDL,Amanda’s organization does not currently have an incident response plan. Which of the following reasons is not one she should present to management in support of creating one? ,,A. It will prevent incidents from occurring. , B. It will help responders react appropriately under stress. , C. It will prepare the organization for incidents. , D. It may be required for legal or compliance reasons.    ,A,"Incident response plans don’t stop incidents from occurring, but they do help responders react appropriately, prepare the organization for incidents, and may be required for legal or compliance reasons."
Objective-4,65,CH4_SEIDL,Which of the following scenarios is least likely to result in data recovery being possible? ,,A. A file is deleted from a disk. , B. A file is overwritten by a smaller file. , C. A hard drive is quick-formatted. , D. A disk is degaussed.    ,D,"Degaussing a drive uses strong magnetic fields to wipe it and is the least likely to result in recoverable data. Deleted files can often be recovered because only the file index information will be removed until that space is needed and is overwritten. Quick formats work in a similar way and will leave remnant data, and files that are overwritten by smaller files will also leave fragments of data that can be recovered and analyzed."
Objective-4,66,CH4_SEIDL,Henry records a video of the removal of a drive from a system as he is preparing for a forensic investigation. What is the most likely reason for Henry to record the video?  ,,A. To meet the order of volatility , B. To establish guilt beyond a reasonable doubt , C. To ensure data preservation , D. To document the chain of custody and provenance of the drive    ,D,"Henry’s most likely use for the video is to document the forensic process, part of the chain of custody and provenance of the forensic data he acquires. The order of volatility helps determine what devices or drives he would image first. There is no crime being committed, so establishing guilt is not relevant to this scenario, and the video will not ensure data is preserved on a drive during a forensic process."
Objective-4,67,CH4_SEIDL,Adam wants to use a tool to edit the contents of a drive. Which of the following tools is best suited to that purpose?  ,,A. Autopsy , B. WinHex , C. dd , D. FTK Imager    ,B,"WinHex is the only disk editor in this list. Autopsy is a forensic analysis suite; dd and FTK Imager are both imaging tools. WinHex also provides the ability to read RAID and dynamic disks, perform data recovery, edit physical memory, clone disks, wipe files and drives, and a variety of other functions."
Objective-4,68,CH4_SEIDL,"Jill wants to build a checklist that includes all the steps to respond to a specific incident.  What type of artifact should she create to do so in her security orchestration, automation, and response (SOAR) environment?  ",,A. A BC plan , B. A playbook , C. A DR plan , D. A runbook    ,B,"Playbooks list the required steps that are needed to address an incident. A runbook focuses on the steps to perform an action or process as part of an incident response process. Thus, a playbook may reference runbooks. Business continuity (BC) plans and disaster recovery (DR) plans are not used for incident response, but they are used to ensure that a business stays online or can recover from a disaster."
Objective-4,69,CH4_SEIDL,Alaina wants to use a password cracker against hashed passwords. Which of the following items is most important for her to know before she does this?  ,,A. The length of the passwords , B. The last date the passwords were changed , C. The hashing method used for the passwords , D. The encryption method used for the passwords    ,C,"Passwords are typically stored using a hash, and best practices would have them stored using a password security–specific hash. Alaina can speed up her efforts if she knows what hashing algorithm and options were used on the passwords. The age and length of the passwords are not necessary, and passwords should not be stored in encrypted form—but the question also specifically notes they’re hashed passwords."
Objective-4,70,CH4_SEIDL,Vincent wants to ensure that his staff does not install a popular game on the workstations they are issued. What type of control could he deploy as part of his endpoint security solution that would most effectively stop this?  ,,A. An application approved list , B. A DLP , C. A content filter , D. An application block list    ,D,"An application block list would fit Vincent’s needs the best from the list provided. An approved list would prevent other tools from being installed, which may impede functionality while making the maintenance of the list challenging. A data loss prevention (DLP) solution attempts to prevent data from being sent or exposed but does not prevent installations or downloads of games. A content filter might help, but workarounds are easy, including sending games via email or via a thumb drive."
Objective-4,71,CH4_SEIDL,Charlene wants to set up a tool that can allow her to see all the systems a given IP address connects to and how much data is sent to that IP by port and protocol. Which of the following tools is not suited to meet that need?  ,,A. IPFIX , B. IPSec , C. sFlow , D. NetFlow    ,B,"IPSec is not a tool used to capture network flows. sFlow, NetFlow, and IPFIX are all used to capture network flow information, which will provide the information Charlene needs."
Objective-4,72,CH4_SEIDL,"A system that Sam is responsible for crashed, and Sam suspects malware may have caused an issue that led to the crash. Which of the following files is most likely to contain information if the malware was a file-less, memory-resident malware package?  ",,A. The swapfile , B. The Windows system log , C. A dump file , D. The Windows security log    ,C,"A system crash, or system dump, file contains the contents of memory at the time of the crash. The infamous Windows blue screen of death results in a memory dump to a file, allowing analysis of memory contents. The swapfile (pagefile) is used to store information that would not fit in memory but is unlikely to contain a currently running malware package, since files are swapped out when they are not in use. The Windows security log does not contain this type of information, nor does the system log."
Objective-4,73,CH4_SEIDL,Which of the following commands can be used to show the route to a remote system on a Windows 10 workstation?  ,,A. traceroute , B. arp , C. tracert , D. netstat    ,C,"The Windows tracert command will show the route to a remote system as well as delays along the route. traceroute is the equivalent command in Linux. The arp command allows you to view and modify the Address Resolution Protocol (ARP) cache in Windows, and netstat has varying functions in different operating systems but generally shows statistics and information about network usage and status."
Objective-4,74,CH4_SEIDL,Tools like PRTG and Cacti that monitor SNMP information are used to provide what type of information for an incident investigation?  ,,A. Authentication logs , B. Bandwidth monitoring , C. System log information , D. Email metadata    ,B,"PRTG and Cacti are both network monitoring tools that can provide bandwidth monitoring information. Bandwidth monitors can help identify exfiltration, heavy and abnormal bandwidth usage, and other information that can be helpful for both incident identification and incident investigations. If you encounter a question like this on the exam, even if you’re not familiar with either tool, you can use your knowledge of what Simple Network Management Protocol (SNMP) is used for to identify which of the categories is most likely correct."
Objective-4,75,CH4_SEIDL,Which of the following is not a key consideration when considering on-premises versus cloud forensic investigations?  ,,A. Data breach notification laws , B. Right-to-audit clauses , C. Regulatory requirements , D. Provenance    ,D,"The Security+ exam outline focuses on right to audit clauses, regulatory and jurisdictional issues, and data breach notification laws as key elements to consider when planning on-site versus cloud forensic differences. Provenance is important regardless of where the forensic activity occurs."
Objective-4,76,CH4_SEIDL,The company Charles works for has recently had a stolen company cell phone result in a data breach. Charles wants to prevent future incidents of a similar nature. Which of the following mitigation techniques would be the most effective?  ,,A. Enable FDE via MDM. , B. A firewall change , C. A DLP rule , D. A new URL filter rule    ,A,"A variety of configuration changes could be pushed to mobile devices to help: setting passcodes, enabling full-disk encryption (FDE) on mobile devices via organizationally deployed mobile device management (MDM), or even preventing some sensitive files from being downloaded or kept on those devices could all help. Firewall rules, data loss prevention (DLP) rules, and URL filters will not prevent a stolen device from being accessed and the data being exposed."
Objective-4,77,CH4_SEIDL,Henry runs the following command: dig @8.8.8.8 example.com What will it do? ,,A. Search example.com’s DNS server for the host 8.8.8.8. , B. Search 8.8.8.8’s DNS information for example.com. , C. Look up the hostname for 8.8.8.8. , D. Perform open source intelligence gathering about 8.8.8.8 and example.com.    ,B,"The @ command for dig selects the Domain Name System (DNS) server it should query.  In this case, it will query one of Google’s DNS servers at 8.8.8.8 for the DNS information for example.com."
Objective-4,78,CH4_SEIDL,"Greg is collecting a forensic image of a drive using FTK Imager, and he wants to ensure that he has a valid copy. What should he do next?  ",,A. Run the Linux cmp command to compare the two files. , B. Calculate an AES-256 hash of the two drives. , C. Compare an MD5 or SHA-1 hash of the drive to the image. , D. Compare the MD5 of each file on the drive to the MD5 of each file in the image.    ,C,"Greg should use the built-in hashing functions to compare either an MD5 or SHA-1 hash of the source drive to a hash using the same function run on the image. If they match, he has a valid and intact image. None of the other answers will provide validation that the full drive was properly imaged."
Objective-4,79,CH4_SEIDL,Adam needs to search for a string in a large text file. Which of the following tools should he use to most efficiently find every occurrence of the text he is searching for?  ,,A. cat , B. grep , C. head , D. tail    ,B,"The Linux grep command is a search tool that Adam can use to search through files or directories to find strings. cat is short for concatenate, and the command can be used to create files, to view their contents, or to combine files. head and tail are used to view the beginning or end of a file, respectively."
Objective-4,80,CH4_SEIDL,Angela wants to use segmentation as part of her mitigation techniques. Which of the following best describes a segmentation approach to network security?  ,,A. Removing potentially infected or compromised systems from the network , B. Using firewalls and other tools to limit the spread of an active infection , C. Partitioning the network into segments based on user and system roles and security requirements , D. Adding security systems or devices to prevent data loss and exposure’    ,C,"Segmentation splits networks or systems into smaller units that align with specific needs.  Segmentation can be functional, security based, or for other purposes. Removing potentially infected systems would be an example of isolation, using firewalls and other tools to stop the spread of an infection is containment, and adding security systems to prevent data loss is an example of implementing a security tool or feature."
Objective-4,81,CH4_SEIDL,Charlene has been asked to write a business continuity (BC) plan for her organization. Which of the following will a business continuity plan best handle?  ,,A. How to respond during a person-made disaster , B. How to keep the organization running during a system outage , C. How to respond during a natural disaster , D. All of the above    ,B,"Unlike a disaster recovery plan that is written to help an organization recovery from a person-made or natural disaster, a business continuity plan focuses on how to keep the business running when it is disrupted. Thus, Charlene’s BC plan would detail how to keep the organization running when a system outage occurs."
Objective-4,82,CH4_SEIDL,Brad wants to create a self-signed x.509 certificate. Which of the following tools can be used to perform this task?  ,,A. hping , B. Apache , C. OpenSSL , D. scp    ,C,OpenSSL can be used to generate a certificate using a command like this: openssl req -x509 -sha256 -nodes -days 365 -newkey rsa:2048 -keyout privateKey.key -out certificate.crt.  None of the other tools listed can be used to generate a certificate.
Objective-4,83,CH4_SEIDL,"Cameron wants to test for commonly used passwords in his organization. Which of the following commands would be most useful if he knows that his organization’s name, mascot, and similar terms are often used as passwords?  ",,"A. john --wordlist ""mywords.txt"" --passwordfile.txt "," B. ssh -test -""mascotname, orgname"" ", C. john -show passwordfile.txt ," D. crack -passwords -wordlist ""mascotname, orgname""    ",A,"The only password cracker listed is John the Ripper. John accepts custom wordlists, meaning that Cameron can create and use his own wordlist, as shown in option A."
Objective-4,84,CH4_SEIDL,Which of the following capabilities is not built into Autopsy? ,,A. Disk imaging , B. Timeline generation , C. Automatic image filtering , D. Communication visualization    ,A,"Autopsy does not have a built-in capability to create disk images. Instead, it relies on third-party tools for acquisition and then imports disk images and other media. Autopsy has built-in timeline generation, image filtering and identification, and communication visualization, among many other capabilities."
Objective-4,85,CH4_SEIDL,"Alaina’s company is considering signing a contract with a cloud service provider, and wants to determine how secure their services are. Which of the following is a method she is likely to be able to use to assess it?  ",,A. Ask for permission to vulnerability scan the vendor’s production service. , B. Conduct an audit of the organization. , C. Review an existing SOC audit. , D. Hire a third party to audit the organization.    ,C,"Many cloud service providers do not allow customer-driven audits, either by the customer or a third party. They also commonly prohibit vulnerability scans of their production environment to avoid service outages. Instead, many provide third-party audit results in the form of a service organization controls (SOC) report or similar audit artifact."
Objective-4,86,CH4_SEIDL,Erin is working through the Cyber Kill Chain and has completed the exploitation phase as part of a penetration test. What step would come next?  ,,A. Lateral movement , B. Privilege escalation , C. Obfuscation , D. Exfiltration    ,B,"The Cyber Kill Chain moves to privilege escalation after exploitation. The entire kill chain is: 1) Reconnaissance, 2) Intrusion, 3) Exploitation, 4) Privilege Escalation, 5) Lateral Movement, 6) Obfuscation/Anti-forensics, 7) Denial of Service, and 8) Exfiltration."
Objective-4,87,CH4_SEIDL,Dana wants to use an exploitation framework to perform a realistic penetration test of her organization. Which of the following tools would fit that requirement?  ,,A. Cuckoo , B. theHarvester , C. Nessus , D. Metasploit    ,D,"Of the tools that are listed, only Metasploit is an exploitation framework. Cuckoo is a malware testing sandbox, theHarvester is an open source intelligence gathering tool, and Nessus is a vulnerability scanner. Tools like Metasploit, BeEF, and Pacu are all examples of exploitation frameworks."
Objective-4,88,CH4_SEIDL,Cynthia has been asked to build a playbook for the SOAR system that her organization uses.  What will she build?  ,,A. A set of rules with actions that will be performed when an event occurs using data collected or provided to the SOAR system , B. An automated incident response process that will be run to support the incident response (IR) team , C. A trend analysis–driven script that will provide instructions to the IR team  , D. A set of actions that the team will perform to use the SOAR to respond to an incident    ,A,"A playbook for a security orchestration, automation, and response (SOAR) environment is a set of rules that determine what actions will be performed when an event occurs that is identified by the SOAR using data it collects or receives."
Objective-4,89,CH4_SEIDL,"What incident response step is missing in the following image?  Lessons ,Learned Recovery ,Incident Response Process Eradication ,Preparation ",,A. Business continuity , B. Containment , C. Response , D. Discovery    ,B,"The Security+ exam outline uses a six-step process for incident response: Preparation, Identification, Containment, Eradication, Recovery, and Lessons Learned."
Objective-4,90,CH4_SEIDL,"Gurvinder’s corporate datacenter is located in an area that FEMA has identified as being part of a 100-year flood plain. He knows that there is a chance in any given year that his datacenter could be completely flooded and underwater, and he wants to ensure that his organization knows what to do if that happens. What type of plan should he write?  ",,A. A Continuity of Operations Plan , B. A business continuity plan , C. A flood insurance plan , D. A disaster recovery plan    ,D,"A disaster recovery plan addresses what to do during a person-made or natural disaster.  A flood that completely fills a datacenter would require significant efforts to recover from, and Gurvinder will need a solid disaster recovery plan—and perhaps a new datacenter location as soon as possible! A COOP, or Continuity of Operations Pan, is needed for U.S.  government agencies but is not required for businesses. A business continuity plan would cover how to keep business running, but it does not cover all the requirements in a natural disaster of this scale, and a flood insurance plan is not a term used in the Security+ exam."
Objective-4,91,CH4_SEIDL,Frank wants to identify where network latency is occurring between his computer and a remote server. Which of the following tools is best suited to identifying both the route used and which systems are responding in a timely manner? ,,A. ping , B. tracert , C. pathping , D. netcat    ,C,"pathping combines both ping and tracert/traceroute style functionality to help identify both the path used and where latency is an issue. It is built into Windows and can be used for exactly the troubleshooting that Frank needs to accomplish. He could use both ping and tracert/traceroute to perform the task, but he would need to spend more time using each tool in turn to identify the same information that pathping will put into a single interface. netcat, while useful for many tasks, isn’t as well suited to this one."
Objective-4,92,CH4_SEIDL,Derek wants to see what DNS information can be queried for his organization as well as what hostnames and subdomains may exist. Which of the following tools can provide both DNS query information and Google search information about hosts and domains through a single tool?  ,,A. dnsenum , B. dig , C. host , D. dnscat    ,A,"The dnsenum tool can perform many Domain Name System (DNS)-related functions, including querying A records, nameservers, and MX records, as well as performing zone transfers, Google searches for hosts and subdomains, and net range reverse lookups. dig and host are useful for DNS queries but do not provide this range of capabilities, and dnscat was made up for this question."
Objective-4,93,CH4_SEIDL,Jill has been asked to perform data recovery due to her forensic skills. What should she tell the person asking to perform data recovery to give her the best chance of restoring lost files that were accidentally deleted?  ,,A. Immediately reboot using the reset switch to create a lost file memory dump. , B. Turn off “secure delete” so that the files can be more easily recovered. , C. Do not save any files or make any changes to the system. , D. All of the above    ,C,"Jill wants the least possible changes to occur on the system, so she should instruct the user to not save any files or make any changes. Rebooting the system will not create a memory dump, and may cause new files to be written or changed if patches were waiting to install or other changes are set to occur during a reboot. Turning off secure delete or making other changes will not impact the files that were deleted prior to that setting change."
Objective-4,94,CH4_SEIDL,What phase follows lateral movement in the Cyber Kill Chain?  ,,A. Exfiltration , B. Exploitation , C. Anti-forensics , D. Privilege escalation    ,C,"Anti-forensics activities follow lateral movement in the Cyber Kill Chain model. It helps to remember that after an attacker has completed their attack, they will attempt to hide traces of their efforts, and then may proceed to denial-of-service or exfiltration activities in the model."
Objective-4,95,CH4_SEIDL,eronica has completed the recovery phase of her organization’s incident response plan.  What phase should she move into next?  ,,A. Preparation , B. Lessons learned , C. Recovery , D. Documentation    ,B,"The IR process used for the Security+ exam outline is Preparation, Identification, Containment, Eradication, Recovery, and Lessons Learned. Veronica should move into the lessons learned phase."
Objective-4,96,CH4_SEIDL,Michelle has been asked to sanitize a number of drives to ensure that sensitive data is not exposed when systems are removed from service. Which of the following is not a valid means of sanitizing hard drives? ,,A. Physical destruction , B. Degaussing , C. Quick-formatting the drives , D. Zero-wiping the drives    ,C,"Quick formatting merely deletes file indexes rather than removing and overwriting files, making it inappropriate for sanitization. Physical destruction will ensure that the data is not readable, as will degaussing and zero wiping."
Objective-4,97,CH4_SEIDL,"Bart is investigating an incident, and needs to identify the creator of a Microsoft Office document. Where would he find that type of information?  ",,A. In the filename , B. In the Microsoft Office log files , C. In the Windows application log , D. In the file metadata    ,D,"Microsoft Office places information like the name of the creator of the file, editors, creation and change dates, and other useful information in the file metadata that is stored in each Office document. Bart can simply open the Office document to review this information or can use a forensic or file metadata tool to review it. Filenames may contain the creator’s name, but this would only be if the creator included it. Microsoft Office does not create or maintain a log, and the application log for Windows does not contain this information."
Objective-4,98,CH4_SEIDL,Nathaniel wants to allow Chrome through the Windows Defender firewall. What type of firewall rule change will he need to permit this?  ,,A. Allow TCP 80 and 443 traffic from the system to the Internet. , B. Add Chrome to the Windows Defender Firewall allowed applications. , C. Allow TCP 80 and 443 traffic from the Internet to the system. , D. All of the above    ,B,"Windows Defender Firewall operates on a per-application model and can filter traffic based on whether the system is on a trusted private network or a public network. Nathaniel should allow Chrome by name in the firewall, which will allow it to send traffic without needing to specify ports or protocols."
Objective-4,99,CH4_SEIDL,Nathan wants to perform whois queries on all the hosts in a class C network. Which of the following tools can do that and also be used to discover noncontiguous IP blocks in an automated fashion?  ,,A. netcat , B. dnsenum , C. dig , D. nslookup    ,B,"The dnsenum Perl script builds in quite a few Domain Name System (DNS) enumeration capabilities, including host, nameserver, and MX record gathering; zone transfer; Google scraping for domains; subdomain brute forcing from files; as well as Whois automation and reverse lookups for networks up to class C in size. Although you could manually use dig or nslookup or even netcat to perform many of these functions, dnsenum is the only automated tool on the list."
Objective-4,100,CH4_SEIDL,What key forensic tool relies on correctly set system clocks to work properly?  ,,A. Disk hashing , B. Timelining , C. Forensic disk acquisition , D. File metadata analysis    ,B,"Building a timeline, particularly from multiple systems, relies on accurately set system clocks or adding a manually configured offset. Disk hashing and acquisition does not need an accurate system clock, and file metadata can be reviewed even without an accurate clock, although accurate clock information or knowing the offset can be useful for analysis."
Objective-4,101,CH4_SEIDL,Valerie is writing her organization’s forensic playbooks and knows that the state that she operates in has a data breach notification law. Which of the following key items is most likely to be influenced by that law? ,,A. Whether Valerie calls the police for forensic investigation help , B. The maximum amount of time until she has to notify customers of sensitive data breaches , C. The certification types and levels that her staff have to maintain , D. The maximum number of residents that she can notify about a breach    ,B,"Data breach notification laws often build in a maximum length of time that can pass before notification is required. They also often include a threshold for notification, with a maximum number of exposed individuals before the state or other authorities must be notified. They do not include a maximum number of individuals who can be notified, nor do they typically have specific requirements about police involvement in forensic investigations or certification types or levels."
Objective-4,102,CH4_SEIDL,"As part of a breach response, Naomi discovers that Social Security numbers (SSNs) were sent in a spreadsheet via email by an attacker who gained control of a workstation at her company’s headquarters. Naomi wants to ensure that more SSNs are not sent from her environment. What type of mitigation technique is most likely to prevent this while allowing operations to continue in as normal a manner as possible?  ",,A. Antimalware installed at the email gateway , B. A firewall that blocks all outbound email , C. A DLP rule blocking SSNs in email , D. An IDS rule blocking SSNs in email    ,C,"A data loss prevention (DLP) tool that can scan and review emails for SSN style data is the most effective tool listed here. Naomi may want to set the tool to block all emails with potential SSNs, and then review those emails manually to ensure that no further emails leave while allowing legitimate emails to pass through. An intrusion detection system (IDS) might look tempting as an answer, but an IDS can only detect, not stop, the traffic, which would allow the SSNs to exit the organization. Antimalware and firewalls will not stop this type of event."
Objective-4,103,CH4_SEIDL,Troy wants to review metadata about an email he has received to determine what system or server the email was sent from. Where can he find this information?  ,,A. In the email message’s footer , B. In the to: field , C. In the email message’s headers , D. In the from: field    ,C,"Email headers contain a significant amount of metadata, including where the email was sent from. The from: field lists a sender but does not indicate where the email was actually sent from. The to: field lists who the email was sent to, and footers are not used to store this information for email."
Objective-4,104,CH4_SEIDL,Henry is working with local police on a forensic case and discovers that he needs data from a service provider in another state. What issue is likely to limit their ability to acquire data from the service provider? ,,A. Jurisdiction , B. Venue , C. Legislation , D. Breach laws    ,A,"Jurisdictional boundaries exist between states and localities, as well as countries, making it challenging for local law enforcement to execute warrants and acquire data from organizations outside of their jurisdiction in many cases. Venue is used to describe where a legal case is conducted. Legislation may or may not have an impact, and breach laws are unlikely to impact this but would guide Henry about when notifications of a breach would need to occur."
Objective-4,105,CH4_SEIDL,Olivia wants to test the strength of passwords on systems in her network. Which of the following tools is best suited to that task? ,,A. John the Ripper , B. Rainbow tables , C. Crack.it , D. TheHunter    ,A,"Olivia should use John the Ripper. Although both John the Ripper and rainbow table tools like Ophcrack can be used to crack passwords, John the Ripper will provide a better view of how hard the password was to crack, whereas rainbow table tools will simply determine if the password hash can be cracked. Crack.it and TheHunter were made up for this question."
Objective-4,106,CH4_SEIDL,What U.S. federal agency is in charge of COOP? ,,A. The USDA , B. FEMA , C. The NSA , D. The FBI    ,B,"The Federal Emergency Management Agency (FEMA), part of the Department of Homeland Security, is in charge of Continuity of Operations Planning (COOP), which is a requirement for federal agencies. The U.S. Department of Agriculture (USDA), the National Security Agency (NSA), and the Federal Bureau of Investigations (FBI) are not in charge of Continuity of Operations Planning."
Objective-4,107,CH4_SEIDL,Elaine wants to write a series of scripts to gather security configuration information from Windows 10 workstations. What tool should she use to perform this task?  ,,A. Bash , B. PowerShell , C. Python , D. SSH    ,B,"Windows configuration data can be queried using PowerShell, allowing Elaine to write scripts that will gather security configuration data. Bash is a shell used for Linux systems.  Although Windows systems can now run Bash in the Linux subsystem, it isn’t installed by default. Secure Shell (SSH) is used for remote shell access, and Python could be used but would need to be installed specifically for this purpose and isn’t available by default."
Objective-4,108,CH4_SEIDL,"As part of his incident response, Ramon wants to determine what was said on a Voice over IP (VoIP) call. Which of the following data sources will provide him with the audio from the call? ",,A. Call manager logs , B. SIP logs , C. A Wireshark capture of traffic from the phone , D. None of the above    ,C,"The best option listed is a Wireshark capture of traffic from the phone. In some cases, this traffic may be encrypted, and Ramon may need to take additional steps to decrypt the data. Call manager logs and Session Initiation Protocol (SIP) logs do not include the full audio of a conversation."
Objective-4,109,CH4_SEIDL,"Isabelle wants to gather information about what systems a host is connecting to, how much traffic is sent, and similar details. Which of the following options would not allow her to perform that task?  ",,A. IPFIX , B. NetFlow , C. NXLog , D. sFlow    ,C,"NXLog is a log collection and centralization tool. IPFIX, NetFlow, and sFlow all gather data about network traffic, including source, destination, port, protocol, and amount of data sent to be collected."
Objective-4,110,CH4_SEIDL,"As part of an incident response process, Pete puts a compromised system onto a virtual LAN (VLAN) that he creates that only houses that system and does not allow it access to the Internet. What mitigation technique has he used? ",,A. Isolation , B. Containment , C. Segmentation , D. Eradication    ,A,"Pete has isolated the system by placing it on a separate logical network segment without access. Some malware can detect if systems lose their network connection, and Pete may want to perform forensics via the network or monitor attempts to send outbound traffic, meaning that simply unplugging the system may not meet his needs. Containment would involve limiting the spread or impact of an attack, segmentation places systems in groups based on rules or security groupings, and eradication is a part of the incident response (IR) process where components of an incident or attack are removed."
Objective-4,111,CH4_SEIDL,Lucca needs to conduct a forensic examination of a live virtual machine (VM). What forensic artifact should he acquire?  ,,A. An image of live memory using FTK Imager from the VM , B. A dd image of the virtual machine disk image , C. A snapshot of the VM using the underlying virtualization environment , D. All of the above    ,C,Virtual machine forensics typically rely on a snapshot gathered using the underlying virtualization environment’s snapshot capabilities. This will capture both memory state and the disk for the system and can be run on an independent system or analyzed using forensic tools.
Objective-4,112,CH4_SEIDL,James has a PCAP file that he saved while conducting an incident response exercise. He wants to determine if his intrusion prevention system (IPS) could detect the attack after configuring new detection rules. What tool will help him use the PCAP file for his testing?  ,,A. hping , B. tcpreplay , C. tcpdump , D. Cuckoo    ,B,"The tcpreplay tool is specifically designed to allow PCAP capture files to be replayed to a network, allowing exactly this type of testing. hping can be used to craft packets, but it’s not designed to replay capture files. tcpdump is used to capture packets, but again, it not a replay tool, and Cuckoo is a sandboxing tool for testing and identifying malware packages."
Objective-4,113,CH4_SEIDL,What type of file is created when Windows experiences a blue screen of death? ,,A. A security log , B. A blue log , C. A dump file , D. A tcpdump    ,C,"Windows creates a dump file, which contains all the contents of active memory to allow analysis of the crash."
Objective-4,114,CH4_SEIDL,Ed wants to ensure that a compromise on his network does not spread to parts of the network with different security levels. What mitigation technique should he use prior to the attack to help with this?  ,,A. Isolation , B. Fragmentation , C. Tiering , D. Segmentation    ,D,Segmenting a network based on security or risk levels helps ensure that attacks and compromises are constrained to the same type of systems or devices with similar levels of security requirements. Isolation would remove a device or system from contact with the network or other systems. Fragmentation and tiering are not terms used for the Security+ exam.
Objective-4,115,CH4_SEIDL,Derek has acquired over 20 hard drives as part of a forensic investigation. What key process is important to ensure that each drive is tracked and managed properly over time?  ,,A. Tagging the drives , B. Taking pictures of each drive , C. Labeling each drive with its order of volatility , D. Interviewing each person whose drive is imaged    ,A,"Tagging each drive helps with inventory and ensures that the drive is tracked properly and that the chain of custody can be maintained. Taking a picture may be useful to identify the drive, but tagging and inventory control are more important. Drives are not labeled with an order of volatility because the order of volatility is associated with the type of forensic target, not with a specific drive. Interviews may be useful but are not always conducted with every person whose machine is imaged."
Objective-4,116,CH4_SEIDL,"What term describes the ownership, custody, and acquisition of digital forensic artifacts and images?  ",,A. E-discovery , B. Provenance , C. Jurisdiction , D. Volatility    ,B,"The provenance of a forensic artifact includes the chain of custody, including ownership and acquisition of the artifact, device, or image. E-discovery is the process of doing discovery in electronic formats for litigation, investigations, and records requests. Jurisdiction is the region or area where laws or law enforcement has authority. Volatility is how likely a device or component is to change."
Objective-4,117,CH4_SEIDL,Elle wants to acquire the live memory (RAM) from a machine that is currently turned on.  Which of the following tools is best suited to acquiring the contents of the system’s memory? ,,A. Autopsy , B. The Volatility framework , C. dd , D. netcat    ,B,"The Volatility framework is a purpose-built tool for the acquisition of random access memory (RAM) from a live system. Autopsy is a forensic tool for drive analysis and forensic investigations, dd is used to image drives, and netcat is a tool used to transfer data or to make connections to systems across a network."
Objective-4,118,CH4_SEIDL,"Randy believes that a misconfigured firewall is blocking traffic sent from some systems in his network to his web server. He knows that the traffic should be coming in as HTTPS to his web server, and he wants to check to make sure the traffic is received. What tool can he use to test his theory?  ",,A. tracert , B. Sn1per , C. traceroute , D. Wireshark    ,D,"Wireshark is a network protocol analyzer and capture tool that can be used for troubleshooting in circumstances like this. In fact, security practitioners are often asked to verify that traffic is being received properly as part of firewall rule troubleshooting. Randy may want to capture traffic at both ends of the communication to make sure that the clients are sending traffic properly and then to match that to the same traffic being received—or going missing—at the other end. tracert and traceroute are useful for validating the route that traffic takes but would not show if HTTPS packets were being blocked, and Sn1per is a pen test framework that allows automated pen testing."
Objective-4,119,CH4_SEIDL,Ryan wants to implement a flexible and reliable remote logging environment for his Linux systems. Which of the following tools is least suited to that requirement?  ,,A. rsyslog , B. syslog , C. NXLog , D. syslog-ng    ,B,"The oldest and least capable tool listed is syslog, the original system logging tool for Linux and Unix systems. The other three options have advanced features, which mean that they are more broadly implemented when flexibility and reliability are needed."
